"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Asus DirectCU 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",129.3,256,1010,"GDDR5","GeForce GTX 560 Gainward Golden Sample 1GB Edition","No","4.5","
08-Sep-2011 ","2560x1600","Yes","5"
"Fermi GF114-200-KB-A1 ","Yes","DX 12.0","No",384,"Nvidia",91.9,192,957,"GDDR5","GeForce GTX 555 (OEM)","No","4.5","
01-May-2012 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.1,256,1001,"GDDR5","GeForce GTX 560","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",105.6,192,1100,"GDDR5","GeForce GTX 550 Ti Zotac AMP! Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",98.4,192,1025,"GDDR5","GeForce GTX 550 Ti WindForce Edition","No","4.5","
01-Sep-2011  ","2560x1600","Yes","5"
"Fermi GF116-400-A1 (x2) ","Yes","DX 12.0","No",3842,"Nvidia",196.8,192,1025,"GDDR5","GeForce GTX 550 Ti SLI","No","4.5","
15-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",98.4,192,1025,"GDDR5","GeForce GTX 550 Ti Zotac Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",98.4,192,1025,"GDDR5","GeForce GTX 550 Ti Palit Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",103.2,192,1075,"GDDR5","GeForce GTX 550 Ti M2D1 OC Edition","No","4.5","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",98.5,192,1026,"GDDR5","GeForce GTX 550 Ti DirectCU TOP Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",105.6,192,1100,"GDDR5","GeForce GTX 550 Ti Sonic Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",100.8,192,1050,"GDDR5","GeForce GTX 550 Ti Gigabyte OC Edition","No","4.5","
01-Jul-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",104.5,192,1089,"GDDR5","GeForce GTX 550 Ti FPB","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",98.4,192,1025,"GDDR5","GeForce GTX 550 Ti Gainward Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",108.3,192,1128,"GDDR5","GeForce GTX 550 Ti EVGA SC Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",98.5,192,1026,"GDDR5","GeForce GTX 550 Ti DirectCU Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",105.6,192,1100,"GDDR5","GeForce GTX 550 Ti Golden Sample Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",96.2,192,1002,"GDDR5","GeForce GTX 550 Ti EVGA 2GB Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF116-400-A1 ","Yes","DX 12.0","No",384,"Nvidia",103.2,192,1075,"GDDR5","GeForce GTX 550 Ti Cyclone II OC Edition","No","4.5","
15-Mar-2011 ","2560x1600","Yes","5"
